name,color,limitedScore,cmc,rarity,manaCost,typeLine,oracleText,archetype,isSignpost,isBomb,isRemoval
Cinder Strike,R,,1.0,common,{R},Sorcery,"As an additional cost to cast this spell, you may blight 1. (You may put a -1/-1 counter on a creature you control.)
Cinder Strike deals 2 damage to target creature. It deals 4 damage to that creature instead if this spell's additional cost was paid.",,false,false,false
Collective Inferno,R,,5.0,rare,{3}{R}{R},Enchantment,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
As this enchantment enters, choose a creature type.
Double all damage that sources you control of the chosen type would deal.",,false,false,false
Elder Auntie,R,,3.0,common,{2}{R},Creature — Goblin Warlock,"When this creature enters, create a 1/1 black and red Goblin creature token.",,false,false,false
End-Blaze Epiphany,R,,1.0,rare,{X}{R},Instant,"End-Blaze Epiphany deals X damage to target creature. When that creature dies this turn, exile a number of cards from the top of your library equal to its power, then choose a card exiled this way. Until the end of your next turn, you may play that card.",,false,false,false
Enraged Flamecaster,R,,3.0,common,{2}{R},Creature — Elemental Sorcerer,"Reach
Whenever you cast a spell with mana value 4 or greater, this creature deals 2 damage to each opponent.",,false,false,false
Explosive Prodigy,R,,2.0,uncommon,{1}{R},Creature — Elemental Sorcerer,"Vivid — When this creature enters, it deals X damage to target creature an opponent controls, where X is the number of colors among permanents you control.",,false,false,false
Feed the Flames,R,,4.0,common,{3}{R},Instant,"Feed the Flames deals 5 damage to target creature. If that creature would die this turn, exile it instead.",,false,false,false
Flame-Chain Mauler,R,,2.0,common,{1}{R},Creature — Elemental Warrior,{1}{R}: This creature gets +1/+0 and gains menace until end of turn. (It can't be blocked except by two or more creatures.),,false,false,false
Flamebraider,R,,2.0,uncommon,{1}{R},Creature — Elemental Bard,{T}: Add two mana in any combination of colors. Spend this mana only to cast Elemental spells or activate abilities of Elemental sources.,,false,false,false
Flamekin Gildweaver,R,,4.0,common,{3}{R},Creature — Elemental Sorcerer,"Trample
When this creature enters, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",,false,false,false
Giantfall,R,,2.0,uncommon,{1}{R},Instant,"Choose one —
• Target creature you control deals damage equal to its power to target creature an opponent controls.
• Destroy target artifact.",,false,false,false
Goatnap,R,,3.0,uncommon,{2}{R},Sorcery,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. If that creature is a Goat, it also gets +3/+0 until end of turn.",,false,false,false
Goliath Daydreamer,R,,4.0,rare,{2}{R}{R},Creature — Giant Wizard,"Whenever you cast an instant or sorcery spell from your hand, exile that card with a dream counter on it instead of putting it into your graveyard as it resolves.
Whenever this creature attacks, you may cast a spell from among cards you own in exile with dream counters on them without paying its mana cost.",,false,false,false
Gristle Glutton,R,,2.0,common,{1}{R},Creature — Goblin Scout,"{T}, Blight 1: Discard a card. If you do, draw a card. (To blight 1, put a -1/-1 counter on a creature you control.)",,false,false,false
Hexing Squelcher,R,,2.0,rare,{1}{R},Creature — Goblin Sorcerer,"This spell can't be countered.
Ward—Pay 2 life.
Spells you control can't be countered.
Other creatures you control have ""Ward—Pay 2 life.""",,false,false,false
Impolite Entrance,R,,1.0,uncommon,{R},Sorcery,"Target creature gains trample and haste until end of turn.
Draw a card.",,false,false,false
Kindle the Inner Flame,R,,4.0,uncommon,{3}{R},Kindred Sorcery — Elemental,"Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
Flashback—{1}{R}, Behold three Elementals. (You may cast this card from your graveyard for its flashback cost. Then exile it. To behold an Elemental, choose an Elemental you control or reveal an Elemental card from your hand.)",,false,false,false
Kulrath Zealot,R,,6.0,common,{5}{R},Creature — Elemental Warrior,"When this creature enters, exile the top card of your library. Until the end of your next turn, you may play that card.
Basic landcycling {1}{R} ({1}{R}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)",,false,false,false
Lasting Tarfire,R,,2.0,uncommon,{1}{R},Enchantment,"At the beginning of each end step, if you put a counter on a creature this turn, this enchantment deals 2 damage to each opponent.",,false,false,false
Lavaleaper,R,,4.0,rare,{3}{R},Creature — Elemental,"All creatures have haste.
Whenever a player taps a basic land for mana, that player adds one mana of any type that land produced.",,false,false,false
Meek Attack,R,,3.0,mythic,{2}{R},Enchantment,"{1}{R}: You may put a creature card with total power and toughness 5 or less from your hand onto the battlefield. That creature gains haste. At the beginning of the next end step, sacrifice that creature.",,false,false,false
Reckless Ransacking,R,,2.0,common,{1}{R},Instant,"Target creature gets +3/+2 until end of turn. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",,false,false,false
Scuzzback Scrounger,R,,2.0,rare,{1}{R},Creature — Goblin Warrior,"At the beginning of your first main phase, you may blight 1. If you do, create a Treasure token. (To blight 1, put a -1/-1 counter on a creature you control. A Treasure token is an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",,false,false,false
Sear,R,,2.0,uncommon,{1}{R},Instant,Sear deals 4 damage to target creature or planeswalker.,,false,false,false
Sizzling Changeling,R,,3.0,uncommon,{2}{R},Creature — Shapeshifter,"Changeling (This card is every creature type.)
When this creature dies, exile the top card of your library. Until the end of your next turn, you may play that card.",,false,false,false
Soul Immolation,R,,5.0,mythic,{3}{R}{R},Sorcery,"As an additional cost to cast this spell, blight X. X can't be greater than the greatest toughness among creatures you control. (Put X -1/-1 counters on a creature you control.)
Soul Immolation deals X damage to each opponent and each creature they control.",,false,false,false
Soulbright Seeker,R,,1.0,uncommon,{R},Creature — Elemental Sorcerer,"As an additional cost to cast this spell, behold an Elemental or pay {2}. (To behold an Elemental, choose an Elemental you control or reveal an Elemental card from your hand.)
{R}: Target creature you control gains trample until end of turn. If this is the third time this ability has resolved this turn, add {R}{R}{R}{R}.",,false,false,false
Sourbread Auntie,R,,4.0,uncommon,{2}{R}{R},Creature — Goblin Warrior,"When this creature enters, you may blight 2. If you do, create two 1/1 black and red Goblin creature tokens. (To blight 2, put two -1/-1 counters on a creature you control.)",,false,false,false
Spinerock Tyrant,R,,5.0,mythic,{3}{R}{R},Creature — Dragon,"Flying
Wither (This deals damage to creatures in the form of -1/-1 counters.)
Whenever you cast an instant or sorcery spell with a single target, you may copy it. If you do, those spells gain wither. You may choose new targets for the copy.",,false,false,false
Squawkroaster,R,,4.0,uncommon,{3}{R},Creature — Elemental,"Double strike
Vivid — Squawkroaster's power is equal to the number of colors among permanents you control.",,false,false,false
Sting-Slinger,R,,3.0,uncommon,{2}{R},Creature — Goblin Warrior,"{1}{R}, {T}, Blight 1: This creature deals 2 damage to each opponent. (To blight 1, put a -1/-1 counter on a creature you control.)",,false,false,false
Tweeze,R,,3.0,common,{2}{R},Instant,"Tweeze deals 3 damage to any target. You may discard a card. If you do, draw a card.",,false,false,false
Warren Torchmaster,R,,2.0,uncommon,{1}{R},Creature — Goblin Warrior,"At the beginning of combat on your turn, you may blight 1. When you do, target creature gains haste until end of turn. (To blight 1, put a -1/-1 counter on a creature you control.)",,false,false,false
Assert Perfection,G,,2.0,common,{1}{G},Sorcery,Target creature you control gets +1/+0 until end of turn. It deals damage equal to its power to up to one target creature an opponent controls.,,false,false,false
Aurora Awakener,G,,7.0,mythic,{6}{G},Creature — Giant Druid,"Trample
Vivid — When this creature enters, reveal cards from the top of your library until you reveal X permanent cards, where X is the number of colors among permanents you control. Put any number of those permanent cards onto the battlefield, then put the rest of the revealed cards on the bottom of your library in a random order.",,false,false,false
Bloom Tender,G,,2.0,mythic,{1}{G},Creature — Elf Druid,"Vivid — {T}: For each color among permanents you control, add one mana of that color.",,false,false,false
Blossoming Defense,G,,1.0,uncommon,{G},Instant,Target creature you control gets +2/+2 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.),,false,false,false
Bristlebane Battler,G,,2.0,rare,{1}{G},Creature — Kithkin Soldier,"Trample, ward {2}
This creature enters with five -1/-1 counters on it.
Whenever another creature you control enters while this creature has a -1/-1 counter on it, remove a -1/-1 counter from this creature.",,false,false,false
Bristlebane Outrider,G,,4.0,uncommon,{3}{G},Creature — Kithkin Knight,"This creature can't be blocked by creatures with power 2 or less.
As long as another creature entered the battlefield under your control this turn, this creature gets +2/+0.",,false,false,false
Celestial Reunion,G,,1.0,mythic,{X}{G},Sorcery,"As an additional cost to cast this spell, you may choose a creature type and behold two creatures of that type.
Search your library for a creature card with mana value X or less, reveal it, put it into your hand, then shuffle. If this spell's additional cost was paid and the revealed card is the chosen type, put that card onto the battlefield instead of putting it into your hand.",,false,false,false
Champions of the Perfect,G,,4.0,rare,{3}{G},Creature — Elf Warrior,"As an additional cost to cast this spell, behold an Elf and exile it. (Exile an Elf you control or an Elf card from your hand.)
Whenever you cast a creature spell, draw a card.
When this creature leaves the battlefield, return the exiled card to its owner's hand.",,false,false,false
Chomping Changeling,G,,3.0,uncommon,{2}{G},Creature — Shapeshifter,"Changeling (This card is every creature type.)
When this creature enters, destroy up to one target artifact or enchantment.",,false,false,false
Crossroads Watcher,G,,3.0,common,{2}{G},Creature — Kithkin Ranger,"Trample
Whenever another creature you control enters, this creature gets +1/+0 until end of turn.",,false,false,false
Dawn's Light Archer,G,,3.0,common,{2}{G},Creature — Elf Archer,"Flash
Reach",,false,false,false
Dundoolin Weaver,G,,2.0,uncommon,{1}{G},Creature — Kithkin Druid,"When this creature enters, if you control three or more creatures, return target permanent card from your graveyard to your hand.",,false,false,false
Formidable Speaker,G,,3.0,rare,{2}{G},Creature — Elf Druid,"When this creature enters, you may discard a card. If you do, search your library for a creature card, reveal it, put it into your hand, then shuffle.
{1}, {T}: Untap another target permanent.",,false,false,false
Gilt-Leaf's Embrace,G,,3.0,common,{2}{G},Enchantment — Aura,"Flash
Enchant creature
When this Aura enters, enchanted creature gains trample and indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it still dies.)
Enchanted creature gets +2/+0.",,false,false,false
Great Forest Druid,G,,2.0,common,{1}{G},Creature — Treefolk Druid,{T}: Add one mana of any color.,,false,false,false
Luminollusk,G,,4.0,uncommon,{3}{G},Creature — Elemental,"Deathtouch
Vivid — When this creature enters, you gain life equal to the number of colors among permanents you control.",,false,false,false
Lys Alana Dignitary,G,,2.0,uncommon,{1}{G},Creature — Elf Advisor,"As an additional cost to cast this spell, behold an Elf or pay {2}. (To behold an Elf, choose an Elf you control or reveal an Elf card from your hand.)
{T}: Add {G}{G}. Activate only if there is an Elf card in your graveyard.",,false,false,false
Lys Alana Informant,G,,2.0,common,{1}{G},Creature — Elf Scout,"When this creature enters or dies, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,false,false,false
Midnight Tilling,G,,2.0,common,{1}{G},Instant,"Mill four cards, then you may return a permanent card from among them to your hand. (To mill four cards, put the top four cards of your library into your graveyard.)",,false,false,false
Mistmeadow Council,G,,5.0,common,{4}{G},Creature — Kithkin Advisor,"This spell costs {1} less to cast if you control a Kithkin.
When this creature enters, draw a card.",,false,false,false
Moon-Vigil Adherents,G,,4.0,uncommon,{2}{G}{G},Creature — Elf Druid,"Trample
This creature gets +1/+1 for each creature you control and each creature card in your graveyard.",,false,false,false
Morcant's Eyes,G,,2.0,uncommon,{1}{G},Kindred Enchantment — Elf,"At the beginning of your upkeep, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
{4}{G}{G}, Sacrifice this enchantment: Create X 2/2 black and green Elf creature tokens, where X is the number of Elf cards in your graveyard. Activate only as a sorcery.",,false,false,false
Mutable Explorer,G,,3.0,rare,{2}{G},Creature — Shapeshifter,"Changeling (This card is every creature type.)
When this creature enters, create a tapped Mutavault token. (It's a land with ""{T}: Add {C}"" and ""{1}: This token becomes a 2/2 creature with all creature types until end of turn. It's still a land."")",,false,false,false
Pitiless Fists,G,,4.0,uncommon,{3}{G},Enchantment — Aura,"Enchant creature you control
When this Aura enters, enchanted creature fights up to one target creature an opponent controls. (Each deals damage equal to its power to the other.)
Enchanted creature gets +2/+2.",,false,false,false
Prismabasher,G,,6.0,uncommon,{4}{G}{G},Creature — Elemental,"Trample
Vivid — When this creature enters, up to X target creatures you control get +X/+X until end of turn, where X is the number of colors among permanents you control.",,false,false,false
Prismatic Undercurrents,G,,4.0,uncommon,{3}{G},Enchantment,"Vivid — When this enchantment enters, search your library for up to X basic land cards, where X is the number of colors among permanents you control. Reveal those cards, put them into your hand, then shuffle.
You may play an additional land on each of your turns.",,false,false,false
Pummeler for Hire,G,,5.0,uncommon,{4}{G},Creature — Giant Mercenary,"Vigilance, reach
Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
When this creature enters, you gain X life, where X is the greatest power among Giants you control.",,false,false,false
Safewright Cavalry,G,,4.0,common,{3}{G},Creature — Elf Warrior,"This creature can't be blocked by more than one creature.
{5}: Target Elf you control gets +2/+2 until end of turn.",,false,false,false
Sapling Nursery,G,,8.0,rare,{6}{G}{G},Enchantment,"Affinity for Forests (This spell costs {1} less to cast for each Forest you control.)
Landfall — Whenever a land you control enters, create a 3/4 green Treefolk creature token with reach.
{1}{G}, Exile this enchantment: Treefolk and Forests you control gain indestructible until end of turn.",,false,false,false
Selfless Safewright,G,,5.0,rare,{3}{G}{G},Creature — Elf Warrior,"Flash
Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
When this creature enters, choose a creature type. Other permanents you control of that type gain hexproof and indestructible until end of turn.",,false,false,false
Shimmerwilds Growth,G,,2.0,uncommon,{1}{G},Enchantment — Aura,"Enchant land
As this Aura enters, choose a color.
Enchanted land is the chosen color.
Whenever enchanted land is tapped for mana, its controller adds an additional one mana of the chosen color.",,false,false,false
Spry and Mighty,G,,5.0,rare,{4}{G},Sorcery,"Choose two creatures you control. You draw X cards and the chosen creatures get +X/+X and gain trample until end of turn, where X is the difference between the chosen creatures' powers.",,false,false,false
Surly Farrier,G,,2.0,common,{1}{G},Creature — Kithkin Citizen,{T}: Target creature you control gets +1/+1 and gains vigilance until end of turn. Activate only as a sorcery.,,false,false,false
Tend the Sprigs,G,,3.0,common,{2}{G},Sorcery,"Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control seven or more lands and/or Treefolk, create a 3/4 green Treefolk creature token with reach. (It can block creatures with flying.)",,false,false,false
Thoughtweft Charge,G,,2.0,uncommon,{1}{G},Instant,"Target creature gets +3/+3 until end of turn. If a creature entered the battlefield under your control this turn, draw a card.",,false,false,false
"Trystan, Callous Cultivator // Trystan, Penitent Culler",BG,,3.0,rare,,Legendary Creature — Elf Druid // Legendary Creature — Elf Warlock,,,false,false,false
Unforgiving Aim,G,,3.0,common,{2}{G},Instant,"Choose one —
• Destroy target creature with flying.
• Destroy target enchantment.
• Create a 2/2 black and green Elf creature token.",,false,false,false
Vinebred Brawler,G,,3.0,uncommon,{2}{G},Creature — Elf Berserker,"This creature must be blocked if able.
Whenever this creature attacks, another target Elf you control gets +2/+1 until end of turn.",,false,false,false
Virulent Emissary,G,,1.0,uncommon,{G},Creature — Elf Assassin,"Deathtouch
Whenever another creature you control enters, you gain 1 life.",,false,false,false
Wildvine Pummeler,G,,7.0,common,{6}{G},Creature — Giant Berserker,"Vivid — This spell costs {1} less to cast for each color among permanents you control.
Reach, trample",,false,false,false
"Abigale, Eloquent First-Year",BW,,2.0,rare,{W/B}{W/B},Legendary Creature — Bird Bard,"Flying, first strike, lifelink
When Abigale enters, up to one other target creature loses all abilities. Put a flying counter, a first strike counter, and a lifelink counter on that creature.",,false,false,false
Ashling's Command,RU,,5.0,rare,{3}{U}{R},Kindred Instant — Elemental,"Choose two —
• Create a token that's a copy of target Elemental you control.
• Target player draws two cards.
• Ashling's Command deals 2 damage to each creature target player controls.
• Target player creates two Treasure tokens.",,false,false,false
Boggart Cursecrafter,BR,,2.0,uncommon,{B}{R},Creature — Goblin Warlock,"Deathtouch
Whenever another Goblin you control dies, this creature deals 1 damage to each opponent.",,false,false,false
Bre of Clan Stoutarm,RW,,4.0,rare,{2}{R}{W},Legendary Creature — Giant Warrior,"{1}{W}, {T}: Another target creature you control gains flying and lifelink until end of turn.
At the beginning of your end step, if you gained life this turn, exile cards from the top of your library until you exile a nonland card. You may cast that card without paying its mana cost if the spell's mana value is less than or equal to the amount of life you gained this turn. Otherwise, put it into your hand.",,false,false,false
Brigid's Command,GW,,3.0,rare,{1}{G}{W},Kindred Sorcery — Kithkin,"Choose two —
• Create a token that's a copy of target Kithkin you control.
• Target player creates a 1/1 green and white Kithkin creature token.
• Target creature you control gets +3/+3 until end of turn.
• Target creature you control fights target creature an opponent controls.",,false,false,false
Catharsis,RW,,6.0,mythic,{4}{R/W}{R/W},Creature — Elemental Incarnation,"When this creature enters, if {W}{W} was spent to cast it, create two 1/1 green and white Kithkin creature tokens.
When this creature enters, if {R}{R} was spent to cast it, creatures you control get +1/+1 and gain haste until end of turn.
Evoke {R/W}{R/W} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters.)",,false,false,false
Chaos Spewer,BR,,3.0,common,{2}{B/R},Creature — Goblin Warlock,"When this creature enters, you may pay {2}. If you don't, blight 2. (To blight 2, put two -1/-1 counters on a creature you control.)",,false,false,false
Chitinous Graspling,GU,,4.0,common,{3}{G/U},Creature — Shapeshifter,"Changeling (This card is every creature type.)
Reach",,false,false,false
Deceit,BU,,6.0,mythic,{4}{U/B}{U/B},Creature — Elemental Incarnation,"When this creature enters, if {U}{U} was spent to cast it, return up to one other target nonland permanent to its owner's hand.
When this creature enters, if {B}{B} was spent to cast it, target opponent reveals their hand. You choose a nonland card from it. That player discards that card.
Evoke {U/B}{U/B}",,false,false,false
Deepchannel Duelist,UW,,2.0,uncommon,{W}{U},Creature — Merfolk Soldier,"At the beginning of your end step, untap target Merfolk you control.
Other Merfolk you control get +1/+1.",,false,false,false
Deepway Navigator,UW,,2.0,rare,{W}{U},Creature — Merfolk Wizard,"Flash
When this creature enters, untap each other Merfolk you control.
As long as you attacked with three or more Merfolk this turn, Merfolk you control get +1/+0.",,false,false,false
"Doran, Besieged by Time",BGW,,4.0,rare,{1}{W}{B}{G},Legendary Creature — Treefolk Druid,"Each creature spell you cast with toughness greater than its power costs {1} less to cast.
Whenever a creature you control attacks or blocks, it gets +X/+X until end of turn, where X is the difference between its power and toughness.",,false,false,false
Dream Harvest,BU,,7.0,rare,{5}{U/B}{U/B},Sorcery,"Each opponent exiles cards from the top of their library until they have exiled cards with total mana value 5 or greater this way. Until end of turn, you may cast cards exiled this way without paying their mana costs.",,false,false,false
Eclipsed Boggart,BR,,3.0,uncommon,{B/R}{B/R}{B/R},Creature — Goblin Scout,"When this creature enters, look at the top four cards of your library. You may reveal a Goblin, Swamp, or Mountain card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",,false,false,false
Eclipsed Elf,BG,,3.0,uncommon,{B/G}{B/G}{B/G},Creature — Elf Scout,"When this creature enters, look at the top four cards of your library. You may reveal an Elf, Swamp, or Forest card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",,false,false,false
Eclipsed Flamekin,RU,,3.0,uncommon,{1}{U/R}{U/R},Creature — Elemental Scout,"When this creature enters, look at the top four cards of your library. You may reveal an Elemental, Island, or Mountain card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",,false,false,false
Eclipsed Kithkin,GW,,2.0,uncommon,{G/W}{G/W},Creature — Kithkin Scout,"When this creature enters, look at the top four cards of your library. You may reveal a Kithkin, Forest, or Plains card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",,false,false,false
Eclipsed Merrow,UW,,3.0,uncommon,{W/U}{W/U}{W/U},Creature — Merfolk Scout,"When this creature enters, look at the top four cards of your library. You may reveal a Merfolk, Plains, or Island card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",,false,false,false
Emptiness,BW,,6.0,mythic,{4}{W/B}{W/B},Creature — Elemental Incarnation,"When this creature enters, if {W}{W} was spent to cast it, return target creature card with mana value 3 or less from your graveyard to the battlefield.
When this creature enters, if {B}{B} was spent to cast it, put three -1/-1 counters on up to one target creature.
Evoke {W/B}{W/B}",,false,false,false
Feisty Spikeling,RW,,2.0,common,{1}{R/W},Creature — Shapeshifter,"Changeling (This card is every creature type.)
During your turn, this creature has first strike.",,false,false,false
Figure of Fable,GW,,1.0,rare,{G/W},Creature — Kithkin,"{G/W}: This creature becomes a Kithkin Scout with base power and toughness 2/3.
{1}{G/W}{G/W}: If this creature is a Scout, it becomes a Kithkin Soldier with base power and toughness 4/5.
{3}{G/W}{G/W}{G/W}: If this creature is a Soldier, it becomes a Kithkin Avatar with base power and toughness 7/8 and protection from each of your opponents.",,false,false,false
Flaring Cinder,RU,,3.0,common,{1}{U/R}{U/R},Creature — Elemental Sorcerer,"When this creature enters and whenever you cast a spell with mana value 4 or greater, you may discard a card. If you do, draw a card.",,false,false,false
Gangly Stompling,GR,,3.0,common,{2}{R/G},Creature — Shapeshifter,"Changeling (This card is every creature type.)
Trample",,false,false,false
Glister Bairn,GU,,5.0,uncommon,{2}{G/U}{G/U}{G/U},Creature — Ouphe,"Vivid — At the beginning of combat on your turn, another target creature you control gets +X/+X until end of turn, where X is the number of colors among permanents you control.",,false,false,false
Grub's Command,BR,,5.0,rare,{3}{B}{R},Kindred Sorcery — Goblin,"Choose two —
• Create a token that's a copy of target Goblin you control.
• Creatures target player controls get +1/+1 and gain haste until end of turn.
• Destroy target artifact or creature.
• Target player mills five cards, then puts each Goblin card milled this way into their hand.",,false,false,false
High Perfect Morcant,BG,,4.0,rare,{2}{B}{G},Legendary Creature — Elf Noble,"Whenever High Perfect Morcant or another Elf you control enters, each opponent blights 1. (They each put a -1/-1 counter on a creature they control.)
Tap three untapped Elves you control: Proliferate. Activate only as a sorcery. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",,false,false,false
Hovel Hurler,RW,,5.0,uncommon,{3}{R/W}{R/W},Creature — Giant Warrior,"This creature enters with two -1/-1 counters on it.
{R/W}{R/W}, Remove a counter from this creature: Another target creature you control gets +1/+0 and gains flying until end of turn. Activate only as a sorcery.",,false,false,false
"Kirol, Attentive First-Year",RW,,3.0,rare,{1}{R/W}{R/W},Legendary Creature — Vampire Cleric,Tap two untapped creatures you control: Copy target triggered ability you control. You may choose new targets for the copy. Activate only once each turn.,,false,false,false
"Lluwen, Imperfect Naturalist",BG,,2.0,rare,{B/G}{B/G},Legendary Creature — Elf Druid,"When Lluwen enters, mill four cards, then you may put a creature or land card from among the milled cards on top of your library.
{2}{B/G}{B/G}{B/G}, {T}, Discard a land card: Create a 1/1 black and green Worm creature token for each land card in your graveyard.",,false,false,false
"Maralen, Fae Ascendant",BGU,,5.0,rare,{2}{B}{G}{U},Legendary Creature — Elf Faerie Noble,"Flying
Whenever Maralen or another Elf or Faerie you control enters, exile the top two cards of target opponent's library.
Once each turn, you may cast a spell with mana value less than or equal to the number of Elves and Faeries you control from among cards exiled with Maralen this turn without paying its mana cost.",,false,false,false
Merrow Skyswimmer,UW,,5.0,common,{3}{W/U}{W/U},Creature — Merfolk Soldier,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Flying, vigilance
When this creature enters, create a 1/1 white and blue Merfolk creature token.",,false,false,false
Mischievous Sneakling,BU,,2.0,common,{1}{U/B},Creature — Shapeshifter,"Changeling (This card is every creature type.)
Flash",,false,false,false
Morcant's Loyalist,BG,,3.0,uncommon,{1}{B}{G},Creature — Elf Warrior,"Other Elves you control get +1/+1.
When this creature dies, return another target Elf card from your graveyard to your hand.",,false,false,false
Noggle Robber,GR,,3.0,uncommon,{1}{R/G}{R/G},Creature — Noggle Rogue,"When this creature enters or dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",,false,false,false
Prideful Feastling,BW,,3.0,common,{2}{W/B},Creature — Shapeshifter,"Changeling (This card is every creature type.)
Lifelink",,false,false,false
Raiding Schemes,GR,,5.0,rare,{3}{R}{G},Enchantment,"Each noncreature spell you cast has conspire. (As you cast a noncreature spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it and you may choose new targets for the copy. A copy of a permanent spell becomes a token.)",,false,false,false
Reaping Willow,BW,,4.0,uncommon,{1}{W/B}{W/B}{W/B},Creature — Treefolk Cleric,"Lifelink
This creature enters with two -1/-1 counters on it.
{1}{W/B}, Remove two counters from this creature: Return target creature card with mana value 3 or less from your graveyard to the battlefield. Activate only as a sorcery.",,false,false,false
"Sanar, Innovative First-Year",RU,,4.0,rare,{2}{U/R}{U/R},Legendary Creature — Goblin Sorcerer,"Vivid — At the beginning of your first main phase, reveal cards from the top of your library until you reveal X nonland cards, where X is the number of colors among permanents you control. For each of those colors, you may exile a card of that color from among the revealed cards. Then shuffle. You may cast the exiled cards this turn.",,false,false,false
Shadow Urchin,BR,,3.0,rare,{2}{B/R},Creature — Ouphe,"Whenever this creature attacks, blight 1. (Put a -1/-1 counter on a creature you control.)
Whenever a creature you control with one or more counters on it dies, exile that many cards from the top of your library. Until your next end step, you may play those cards.",,false,false,false
Stoic Grove-Guide,BG,,5.0,common,{4}{B/G},Creature — Elf Druid,"{1}{B/G}, Exile this card from your graveyard: Create a 2/2 black and green Elf creature token. Activate only as a sorcery.",,false,false,false
Sygg's Command,UW,,3.0,rare,{1}{W}{U},Kindred Sorcery — Merfolk,"Choose two —
• Create a token that's a copy of target Merfolk you control.
• Creatures target player controls gain lifelink until end of turn.
• Target player draws a card.
• Tap target creature. Put a stun counter on it.",,false,false,false
"Tam, Mindful First-Year",GU,,2.0,rare,{1}{G/U},Legendary Creature — Gorgon Wizard,"Each other creature you control has hexproof from each of its colors.
{T}: Target creature you control becomes all colors until end of turn.",,false,false,false
Thoughtweft Lieutenant,GW,,2.0,uncommon,{G}{W},Creature — Kithkin Soldier,"Whenever this creature or another Kithkin you control enters, target creature you control gets +1/+1 and gains trample until end of turn.",,false,false,false
Trystan's Command,BG,,6.0,rare,{4}{B}{G},Kindred Sorcery — Elf,"Choose two —
• Create a token that's a copy of target Elf you control.
• Return one or two target permanent cards from your graveyard to your hand.
• Destroy target creature or enchantment.
• Creatures target player controls get +3/+3 until end of turn. Untap them.",,false,false,false
Twinflame Travelers,RU,,4.0,uncommon,{2}{U}{R},Creature — Elemental Sorcerer,"Flying
If a triggered ability of another Elemental you control triggers, it triggers an additional time.",,false,false,false
Vibrance,GR,,5.0,mythic,{3}{R/G}{R/G},Creature — Elemental Incarnation,"When this creature enters, if {R}{R} was spent to cast it, this creature deals 3 damage to any target.
When this creature enters, if {G}{G} was spent to cast it, search your library for a land card, reveal it, put it into your hand, then shuffle. You gain 2 life.
Evoke {R/G}{R/G}",,false,false,false
Voracious Tome-Skimmer,BU,,3.0,uncommon,{U/B}{U/B}{U/B},Creature — Faerie Rogue,"Flying
Whenever you cast a spell during an opponent's turn, you may pay 1 life. If you do, draw a card.",,false,false,false
Wary Farmer,GW,,3.0,common,{1}{G/W}{G/W},Creature — Kithkin Citizen,"At the beginning of your end step, if another creature entered the battlefield under your control this turn, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,false,false,false
Wistfulness,GU,,5.0,mythic,{3}{G/U}{G/U},Creature — Elemental Incarnation,"When this creature enters, if {G}{G} was spent to cast it, exile target artifact or enchantment an opponent controls.
When this creature enters, if {U}{U} was spent to cast it, draw two cards, then discard a card.
Evoke {G/U}{G/U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters.)",,false,false,false
Chronicle of Victory,,,6.0,mythic,{6},Legendary Artifact,"As Chronicle of Victory enters, choose a creature type.
Creatures you control of the chosen type get +2/+2 and have first strike and trample.
Whenever you cast a spell of the chosen type, draw a card.",,false,false,false
